,49330000,49340080,49370000,49660000,49705000,49740000,49775000
1959-11-10,,,1536.53,,1127.87,,
1959-11-11,,,1513.16,,1190.75,,
1959-11-12,,,1575.83,,1167.66,,
1959-11-13,,,1567.93,,1196.57,,
1959-11-14,,,1567.93,,1190.75,,
1959-11-15,,,1497.67,,1202.4,,
1959-11-16,,,1560.05,,1190.75,,
1959-11-17,,,1663.86,,1190.75,,
1959-11-18,,,1846.35,,1237.73,,
1959-11-19,,,1984.41,,1359.78,,
1959-11-20,,,2126.92,,1475.34,,
1959-11-21,,,2181.51,,1528.45,,
1959-11-22,,,2190.66,,1548.64,,
1959-11-23,,,2064.03,,1541.89,,
1959-11-24,,,1966.91,,1515.07,,
1959-11-25,,,1932.11,,1462.23,,
1959-11-26,,,1837.87,,1410.47,,
1959-11-27,,,1812.54,,1366.06,,
1959-11-28,,,1696.41,,1341.05,,
1959-11-29,,,1639.64,,1297.93,,
1959-11-30,,,1536.53,,1249.64,,
1959-12-01,,,1552.19,,1208.25,,
1959-12-02,,,1591.68,,1208.25,,
1959-12-03,,,1729.24,,1219.99,,
1959-12-04,,,1889.01,,1285.76,,
1959-12-05,,,2181.51,,1378.67,,
1959-12-06,,,2454.05,,1535.16,,
1959-12-07,,,2812.31,,1715.75,,
1959-12-08,,,3224.98,,2008.6,,
1959-12-09,,,3571.01,,2227.09,,
1959-12-10,,,3814.38,,2432.32,,
1959-12-11,,,3920.88,,2602.23,,
1959-12-12,,,3920.88,,2675.76,,
1959-12-13,,,3837.93,,2703.64,,
1959-12-14,,,3628.3,,2638.85,,
1959-12-15,,,3412.78,,2529.88,,
1959-12-16,,,3159.85,,2406.09,,
1959-12-17,,,2926.13,,2243.8,,
1959-12-18,,,2751.08,,2104.1,,
1959-12-19,,,2600.66,,1969.56,,
1959-12-20,,,2415.61,,1825.24,,
1959-12-21,,,2245.97,,1715.75,,
1959-12-22,,,2181.51,,1596.36,,
1959-12-23,,,2117.88,,1575.81,,
1959-12-24,,,2108.86,,1562.19,,
1959-12-25,,,2190.66,,1589.49,,
1959-12-26,,,2255.25,,1637.93,,
1959-12-27,,,2425.19,,1730.12,,
1959-12-28,,,2630.44,,1870.13,,
1959-12-29,,,2894.89,,2040.15,,
1959-12-30,,,3149.05,,2193.9,,
1959-12-31,,,3203.21,,2235.44,,
1960-01-01,,,3192.34,,2218.77,,
1960-01-02,,,3073.93,,2177.41,,
1960-01-03,,,2926.13,,2096.05,,
1960-01-04,,,2832.85,,2064.0,,
1960-01-05,,,2680.41,,2016.46,,
1960-01-06,,,2600.66,,1930.97,,
1960-01-07,,,2483.07,,1870.13,,
1960-01-08,,,2348.98,,1803.03,,
1960-01-09,,,2330.1,,1730.12,,
1960-01-10,,,2330.1,,1701.44,,
1960-01-11,,,2492.78,,1694.32,,
1960-01-12,,,2853.46,,1773.66,,
1960-01-13,,,3203.21,,2016.46,,
1960-01-14,,,3548.21,,2202.17,,
1960-01-15,,,3849.73,,2494.15,,
1960-01-16,,,4113.47,,2666.51,,
1960-01-17,,,4310.19,,2778.8,,
1960-01-18,,,4410.1,,2864.78,,
1960-01-19,,,4460.44,,2922.95,,
1960-01-20,,,4447.83,,2942.48,,
1960-01-21,,,4347.54,,2874.43,,
1960-01-22,,,4137.83,,2864.78,,
1960-01-23,,,4028.7,,2807.3,,
1960-01-24,,,3873.38,,2741.07,,
1960-01-25,,,3686.0,,2694.33,,
1960-01-26,,,3536.83,,2638.85,,
1960-01-27,,,3491.49,,2611.36,,
1960-01-28,,,3446.41,,2584.03,,
1960-01-29,,,3401.6,,2556.88,,
1960-01-30,,,3514.13,,2529.88,,
1960-01-31,,,3790.89,,2620.5,,
1960-02-01,,,4174.5,,2741.07,,
1960-02-02,,,4625.82,,2893.78,,
1960-02-03,,,5017.74,,3131.85,,
1960-02-04,,,5341.56,,3391.46,,
1960-02-05,,,5562.48,,3563.91,,
1960-02-06,,,5632.34,,3663.08,,
1960-02-07,,,5759.07,,3763.83,,
1960-02-08,,,5930.02,,3843.28,,
1960-02-09,,,5973.11,,3993.38,,
1960-02-10,,,5815.81,,3970.07,,
1960-02-11,,,5787.41,,3900.62,,
1960-02-12,,,5858.52,,3877.62,,
1960-02-13,,,5930.02,,3958.45,,
1960-02-14,,,6030.78,,3993.38,,
1960-02-15,,,6045.24,,4028.49,,
1960-02-16,,,6103.22,,4063.78,,
1960-02-17,,,6146.87,,4099.25,,
1960-02-18,,,6190.65,,4146.81,,
1960-02-19,,,6278.65,,4194.69,,
1960-02-20,,,6322.86,,4242.9,,
1960-02-21,,,6396.84,,4267.11,,
1960-02-22,,,6456.31,,4291.41,,
1960-02-23,,,6471.22,,4328.01,,
1960-02-24,,,6516.03,,4364.79,,
1960-02-25,,,6545.98,,4389.41,,
1960-02-26,,,6591.02,,4426.48,,
1960-02-27,,,6636.2,,4463.74,,
1960-02-28,,,6666.39,,4476.2,,
1960-02-29,,,6711.8,,4501.18,,
1960-03-01,,,6757.35,,4538.79,,
1960-03-02,,,6787.8,,4576.59,,
1960-03-03,,,6833.58,,4601.89,,
1960-03-04,,,6925.55,,4665.49,,
1960-03-05,,,7018.08,,4755.38,,
1960-03-06,,,7298.96,,4898.64,,
1960-03-07,,,7362.05,,5044.36,,
1960-03-08,,,7173.51,,5151.89,,
1960-03-09,,,7761.89,,5219.76,,
1960-03-10,,,8022.76,,5370.89,,
1960-03-11,,,11259.5,,6074.54,,
1960-03-12,,,13451.3,,8043.0,,
1960-03-13,,,13244.8,,9117.25,,
1960-03-14,,,11259.5,,8864.88,,
1960-03-15,,,9455.5,,7193.37,,
1960-03-16,,,8237.56,,6195.89,,
1960-03-17,,,8072.1,,5590.02,,
1960-03-18,,,8304.17,,5396.34,,
1960-03-19,,,8691.83,,5423.77,,
1960-03-20,,,8691.83,,5562.11,,
1960-03-21,,,8404.53,,5590.02,,
1960-03-22,,,8421.31,,5548.18,,
1960-03-23,,,8505.43,,5534.28,,
1960-03-24,,,9209.38,,5716.61,,
1960-03-25,,,10413.6,,6232.52,,
1960-03-26,,,10561.8,,6547.05,,
1960-03-27,,,9758.27,,6659.44,,
1960-03-28,,,9000.75,,6342.86,,
1960-03-29,,,10487.5,,6472.52,,
1960-03-30,,,13224.2,,7822.28,,
1960-03-31,,,15221.0,,9159.57,,
1960-04-01,,,14286.8,,9500.76,,
1960-04-02,,,12573.7,,8864.88,,
1960-04-03,,,11106.9,,7722.71,,
1960-04-04,,,9794.17,,7154.72,,
1960-04-05,,,8777.15,,6361.33,,
1960-04-06,,,8237.56,,5798.43,,
1960-04-07,,,8055.64,,5674.23,,
1960-04-08,,,8022.76,,5451.27,,
1960-04-09,,,7891.84,,5368.99,,
1960-04-10,,,7842.99,,5314.54,,
1960-04-11,,,7761.89,,5260.41,,
1960-04-12,,,7713.41,,5193.19,,
1960-04-13,,,7875.54,,5206.59,,
1960-04-14,,,8072.1,,5260.41,,
1960-04-15,,,8505.43,,5396.34,,
1960-04-16,,,8454.92,,5562.11,,
1960-04-17,,,7924.48,,5506.53,,
1960-04-18,,,7778.08,,5300.98,,
1960-04-19,,,7616.85,,5166.44,,
1960-04-20,,,7536.81,,4968.37,,
1960-04-21,,,7377.86,,4890.39,,
1960-04-22,,,7157.9,,4813.13,,
1960-04-23,,,6818.3,,4711.21,,
1960-04-24,,,6456.31,,4573.12,,
1960-04-25,,,6030.78,,4340.17,,
1960-04-26,,,5632.34,,4102.52,,
1960-04-27,,,5327.88,,3883.87,,
1960-04-28,,,5084.45,,3705.09,,
1960-04-29,,,4885.51,,3595.81,,
1960-04-30,,,4690.14,,3488.42,,
1960-05-01,,,4498.37,,3362.03,,
1960-05-02,,,4285.38,,3238.31,,
1960-05-03,,,4113.47,,3107.31,,
1960-05-04,,,3920.88,,2989.14,,
1960-05-05,,,3779.17,,2873.6,,
1960-05-06,,,3639.81,,2788.67,,
1960-05-07,,,3514.13,,2686.86,,
1960-05-08,,,3401.6,,2605.19,,
1960-05-09,,,3334.87,,2498.54,,
1960-05-10,,,3257.78,,2437.51,,
1960-05-11,,,3116.75,,2385.9,,
1960-05-12,,,3084.61,,2351.84,,
1960-05-13,,,3010.18,,2318.07,,
1960-05-14,,,2957.53,,2309.67,,
1960-05-15,,,2874.14,,2234.86,,
1960-05-16,,,2812.31,,2185.78,,
1960-05-17,,,2781.62,,2161.48,,
1960-05-18,,,2670.38,,2137.33,,
1960-05-19,,,2660.37,,2113.33,,
1960-05-20,,,2630.44,,2121.31,,
1960-05-21,,,2600.66,,2177.66,,
1960-05-22,,,2571.03,,2210.24,,
1960-05-23,,,2551.37,,2210.24,,
1960-05-24,,,2541.56,,2185.78,,
1960-05-25,,,2531.77,,2073.69,,
1960-05-26,,,2512.24,,2026.7,,
1960-05-27,,,2473.38,,1995.71,,
1960-05-28,,,2444.42,,1980.32,,
1960-05-29,,,2415.61,,1965.0,,
1960-05-30,,,2396.48,,1949.75,,
1960-05-31,,,2386.95,,1927.0,,
1960-06-01,,,2425.19,,1896.9,,
1960-06-02,,,2492.78,,1889.42,,
1960-06-03,,,2561.19,,1934.56,,
1960-06-04,,,2600.66,,1980.32,,
1960-06-05,,,2610.57,,2003.43,,
1960-06-06,,,2551.37,,2018.93,,
1960-06-07,,,2454.05,,1980.32,,
1960-06-08,,,2377.43,,1911.92,,
1960-06-09,,,2311.28,,1859.67,,
1960-06-10,,,2273.86,,1822.86,,
1960-06-11,,,2199.84,,1786.48,,
1960-06-12,,,2154.14,,1750.51,,
1960-06-13,,,2099.86,,1714.97,,
1960-06-14,,,2055.11,,1672.88,,
1960-06-15,,,2019.62,,1658.98,,
