,Observado,Natural
1931-12-19 00:00:00,,2184.0
1931-12-20 00:00:00,,2157.0
1931-12-21 00:00:00,,2112.0
1931-12-22 00:00:00,,2066.0
1931-12-23 00:00:00,,2034.0
1931-12-24 00:00:00,,2024.0
1931-12-25 00:00:00,,2041.0
1931-12-26 00:00:00,,2085.0
1931-12-27 00:00:00,,2151.0
1931-12-28 00:00:00,,2231.0
1931-12-29 00:00:00,,2319.0
1931-12-30 00:00:00,,2413.0
1931-12-31 00:00:00,,2514.0
1932-01-01 00:00:00,,2622.0
1932-01-02 00:00:00,,2735.0
1932-01-03 00:00:00,,2847.0
1932-01-04 00:00:00,,2950.0
1932-01-05 00:00:00,,3035.0
1932-01-06 00:00:00,,3095.0
1932-01-07 00:00:00,,3123.0
1932-01-08 00:00:00,,3116.0
1932-01-09 00:00:00,,3078.0
1932-01-10 00:00:00,,3019.0
1932-01-11 00:00:00,,2947.0
1932-01-12 00:00:00,,2864.0
1932-01-13 00:00:00,,2776.0
1932-01-14 00:00:00,,2692.0
1932-01-15 00:00:00,,2637.0
1932-01-16 00:00:00,,2664.0
1932-01-17 00:00:00,,2841.0
1932-01-18 00:00:00,,3185.0
1932-01-19 00:00:00,,3626.0
1932-01-20 00:00:00,,4056.0
1932-01-21 00:00:00,,4411.0
1932-01-22 00:00:00,,4681.0
1932-01-23 00:00:00,,4878.0
1932-01-24 00:00:00,,5017.0
1932-01-25 00:00:00,,5111.0
1932-01-26 00:00:00,,5177.0
1932-01-27 00:00:00,,5228.0
1932-01-28 00:00:00,,5267.0
1932-01-29 00:00:00,,5294.0
1932-01-30 00:00:00,,5309.0
1932-01-31 00:00:00,,5317.0
1932-02-01 00:00:00,,5320.0
1932-02-02 00:00:00,,5324.0
1932-02-03 00:00:00,,5335.0
1932-02-04 00:00:00,,5357.0
1932-02-05 00:00:00,,5388.0
1932-02-06 00:00:00,,5423.0
1932-02-07 00:00:00,,5456.0
1932-02-08 00:00:00,,5481.0
1932-02-09 00:00:00,,5493.0
1932-02-10 00:00:00,,5486.0
1932-02-11 00:00:00,,5453.0
1932-02-12 00:00:00,,5392.0
1932-02-13 00:00:00,,5305.0
1932-02-14 00:00:00,,5192.0
1932-02-15 00:00:00,,5057.0
1932-02-16 00:00:00,,4898.0
1932-02-17 00:00:00,,4711.0
1932-02-18 00:00:00,,4498.0
1932-02-19 00:00:00,,4273.0
1932-02-20 00:00:00,,4056.0
1932-02-21 00:00:00,,3872.0
1932-02-22 00:00:00,,3740.0
1932-02-23 00:00:00,,3671.0
1932-02-24 00:00:00,,3668.0
1932-02-25 00:00:00,,3719.0
1932-02-26 00:00:00,,3795.0
1932-02-27 00:00:00,,3866.0
1932-02-28 00:00:00,,3910.0
1932-02-29 00:00:00,,3922.0
1932-03-01 00:00:00,,3894.0
1932-03-02 00:00:00,,3814.0
1932-03-03 00:00:00,,3687.0
1932-03-04 00:00:00,,3538.0
1932-03-05 00:00:00,,3398.0
1932-03-06 00:00:00,,3292.0
1932-03-07 00:00:00,,3239.0
1932-03-08 00:00:00,,3253.0
1932-03-09 00:00:00,,3333.0
1932-03-10 00:00:00,,3464.0
1932-03-11 00:00:00,,3623.0
1932-03-12 00:00:00,,3781.0
1932-03-13 00:00:00,,3907.0
1932-03-14 00:00:00,,3982.0
1932-03-15 00:00:00,,3998.0
1932-03-16 00:00:00,,3952.0
1932-03-17 00:00:00,,3849.0
1932-03-18 00:00:00,,3704.0
1932-03-19 00:00:00,,3534.0
1932-03-20 00:00:00,,3359.0
1932-03-21 00:00:00,,3206.0
1932-03-22 00:00:00,,3092.0
1932-03-23 00:00:00,,3013.0
1932-03-24 00:00:00,,2956.0
1932-03-25 00:00:00,,2909.0
1932-03-26 00:00:00,,2867.0
1932-03-27 00:00:00,,2829.0
1932-03-28 00:00:00,,2793.0
1932-03-29 00:00:00,,2758.0
1932-03-30 00:00:00,,2723.0
1932-03-31 00:00:00,,2688.0
1932-04-01 00:00:00,,2651.0
1932-04-02 00:00:00,,2606.0
1932-04-03 00:00:00,,2548.0
1932-04-04 00:00:00,,2480.0
1932-04-05 00:00:00,,2410.0
1932-04-06 00:00:00,,2343.0
1932-04-07 00:00:00,,2284.0
1932-04-08 00:00:00,,2234.0
1932-04-09 00:00:00,,2190.0
1932-04-10 00:00:00,,2153.0
1932-04-11 00:00:00,,2125.0
1932-04-12 00:00:00,,2108.0
1932-04-13 00:00:00,,2098.0
1932-04-14 00:00:00,,2093.0
1932-04-15 00:00:00,,2091.0
1932-04-16 00:00:00,,2090.0
1932-04-17 00:00:00,,2088.0
1932-04-18 00:00:00,,2083.0
1932-04-19 00:00:00,,2072.0
1932-04-20 00:00:00,,2053.0
1932-04-21 00:00:00,,2026.0
1932-04-22 00:00:00,,1994.0
1932-04-23 00:00:00,,1960.0
1932-04-24 00:00:00,,1926.0
1932-04-25 00:00:00,,1889.0
1932-04-26 00:00:00,,1849.0
1932-04-27 00:00:00,,1805.0
1932-04-28 00:00:00,,1760.0
1932-04-29 00:00:00,,1716.0
1932-04-30 00:00:00,,1678.0
1932-05-01 00:00:00,,1647.0
1932-05-02 00:00:00,,1619.0
1932-05-03 00:00:00,,1593.0
1932-05-04 00:00:00,,1567.0
1932-05-05 00:00:00,,1542.0
1932-05-06 00:00:00,,1522.0
1932-05-07 00:00:00,,1506.0
1932-05-08 00:00:00,,1493.0
1932-05-09 00:00:00,,1481.0
1932-05-10 00:00:00,,1471.0
1932-05-11 00:00:00,,1463.0
1932-05-12 00:00:00,,1460.0
1932-05-13 00:00:00,,1464.0
1932-05-14 00:00:00,,1470.0
1932-05-15 00:00:00,,1474.0
1932-05-16 00:00:00,,1470.0
1932-05-17 00:00:00,,1456.0
1932-05-18 00:00:00,,1438.0
1932-05-19 00:00:00,,1419.0
1932-05-20 00:00:00,,1404.0
1932-05-21 00:00:00,,1394.0
1932-05-22 00:00:00,,1388.0
1932-05-23 00:00:00,,1389.0
1932-05-24 00:00:00,,1394.0
1932-05-25 00:00:00,,1404.0
1932-05-26 00:00:00,,1411.0
1932-05-27 00:00:00,,1410.0
1932-05-28 00:00:00,,1400.0
1932-05-29 00:00:00,,1385.0
1932-05-30 00:00:00,,1368.0
1932-05-31 00:00:00,,1355.0
1932-06-01 00:00:00,,1353.0
1932-06-02 00:00:00,,1363.0
1932-06-03 00:00:00,,1383.0
1932-06-04 00:00:00,,1409.0
1932-06-05 00:00:00,,1436.0
1932-06-06 00:00:00,,1458.0
1932-06-07 00:00:00,,1470.0
1932-06-08 00:00:00,,1471.0
1932-06-09 00:00:00,,1461.0
1932-06-10 00:00:00,,1443.0
1932-06-11 00:00:00,,1418.0
1932-06-12 00:00:00,,1390.0
1932-06-13 00:00:00,,1363.0
1932-06-14 00:00:00,,1341.0
1932-06-15 00:00:00,,1323.0
1932-06-16 00:00:00,,1308.0
1932-06-17 00:00:00,,1293.0
1932-06-18 00:00:00,,1278.0
1932-06-19 00:00:00,,1263.0
1932-06-20 00:00:00,,1249.0
1932-06-21 00:00:00,,1236.0
1932-06-22 00:00:00,,1227.0
1932-06-23 00:00:00,,1221.0
1932-06-24 00:00:00,,1216.0
1932-06-25 00:00:00,,1210.0
1932-06-26 00:00:00,,1203.0
1932-06-27 00:00:00,,1194.0
1932-06-28 00:00:00,,1185.0
1932-06-29 00:00:00,,1178.0
1932-06-30 00:00:00,,1176.0
1932-07-01 00:00:00,,1182.0
1932-07-02 00:00:00,,1193.0
1932-07-03 00:00:00,,1207.0
1932-07-04 00:00:00,,1220.0
1932-07-05 00:00:00,,1231.0
1932-07-06 00:00:00,,1240.0
1932-07-07 00:00:00,,1247.0
1932-07-08 00:00:00,,1252.0
1932-07-09 00:00:00,,1258.0
1932-07-10 00:00:00,,1262.0
1932-07-11 00:00:00,,1263.0
1932-07-12 00:00:00,,1263.0
1932-07-13 00:00:00,,1260.0
1932-07-14 00:00:00,,1254.0
1932-07-15 00:00:00,,1246.0
1932-07-16 00:00:00,,1233.0
1932-07-17 00:00:00,,1218.0
1932-07-18 00:00:00,,1202.0
1932-07-19 00:00:00,,1187.0
1932-07-20 00:00:00,,1175.0
1932-07-21 00:00:00,,1165.0
1932-07-22 00:00:00,,1157.0
1932-07-23 00:00:00,,1149.0
1932-07-24 00:00:00,,1141.0
1932-07-25 00:00:00,,1133.0
1932-07-26 00:00:00,,1126.0
1932-07-27 00:00:00,,1119.0
1932-07-28 00:00:00,,1113.0
1932-07-29 00:00:00,,1106.0
1932-07-30 00:00:00,,1100.0
1932-07-31 00:00:00,,1093.0
1932-08-01 00:00:00,,1086.0
1932-08-02 00:00:00,,1079.0
1932-08-03 00:00:00,,1072.0
1932-08-04 00:00:00,,1065.0
1932-08-05 00:00:00,,1058.0
1932-08-06 00:00:00,,1053.0
1932-08-07 00:00:00,,1048.0
1932-08-08 00:00:00,,1045.0
1932-08-09 00:00:00,,1041.0
1932-08-10 00:00:00,,1038.0
1932-08-11 00:00:00,,1035.0
1932-08-12 00:00:00,,1032.0
1932-08-13 00:00:00,,1028.0
1932-08-14 00:00:00,,1025.0
1932-08-15 00:00:00,,1021.0
1932-08-16 00:00:00,,1017.0
1932-08-17 00:00:00,,1013.0
1932-08-18 00:00:00,,1009.0
1932-08-19 00:00:00,,1004.0
1932-08-20 00:00:00,,998.0
1932-08-21 00:00:00,,992.0
1932-08-22 00:00:00,,986.0
1932-08-23 00:00:00,,981.0
1932-08-24 00:00:00,,976.0
1932-08-25 00:00:00,,972.0
1932-08-26 00:00:00,,967.0
1932-08-27 00:00:00,,962.0
1932-08-28 00:00:00,,958.0
1932-08-29 00:00:00,,956.0
1932-08-30 00:00:00,,954.0
1932-08-31 00:00:00,,953.0
1932-09-01 00:00:00,,952.0
1932-09-02 00:00:00,,952.0
1932-09-03 00:00:00,,950.0
1932-09-04 00:00:00,,948.0
1932-09-05 00:00:00,,943.0
1932-09-06 00:00:00,,939.0
1932-09-07 00:00:00,,934.0
1932-09-08 00:00:00,,929.0
1932-09-09 00:00:00,,925.0
1932-09-10 00:00:00,,922.0
1932-09-11 00:00:00,,918.0
1932-09-12 00:00:00,,916.0
1932-09-13 00:00:00,,914.0
1932-09-14 00:00:00,,913.0
1932-09-15 00:00:00,,913.0
1932-09-16 00:00:00,,912.0
1932-09-17 00:00:00,,910.0
1932-09-18 00:00:00,,906.0
1932-09-19 00:00:00,,902.0
1932-09-20 00:00:00,,898.0
1932-09-21 00:00:00,,896.0
1932-09-22 00:00:00,,894.0
1932-09-23 00:00:00,,893.0
1932-09-24 00:00:00,,893.0
1932-09-25 00:00:00,,892.0
1932-09-26 00:00:00,,892.0
1932-09-27 00:00:00,,892.0
1932-09-28 00:00:00,,892.0
1932-09-29 00:00:00,,892.0
1932-09-30 00:00:00,,892.0
1932-10-01 00:00:00,,892.0
1932-10-02 00:00:00,,892.0
1932-10-03 00:00:00,,891.0
1932-10-04 00:00:00,,889.0
1932-10-05 00:00:00,,886.0
1932-10-06 00:00:00,,881.0
1932-10-07 00:00:00,,876.0
1932-10-08 00:00:00,,871.0
1932-10-09 00:00:00,,867.0
1932-10-10 00:00:00,,866.0
1932-10-11 00:00:00,,870.0
1932-10-12 00:00:00,,877.0
1932-10-13 00:00:00,,888.0
1932-10-14 00:00:00,,901.0
1932-10-15 00:00:00,,913.0
1932-10-16 00:00:00,,923.0
1932-10-17 00:00:00,,932.0
1932-10-18 00:00:00,,941.0
1932-10-19 00:00:00,,950.0
1932-10-20 00:00:00,,958.0
1932-10-21 00:00:00,,964.0
1932-10-22 00:00:00,,967.0
1932-10-23 00:00:00,,970.0
1932-10-24 00:00:00,,972.0
1932-10-25 00:00:00,,977.0
1932-10-26 00:00:00,,988.0
1932-10-27 00:00:00,,1007.0
1932-10-28 00:00:00,,1030.0
1932-10-29 00:00:00,,1054.0
1932-10-30 00:00:00,,1077.0
1932-10-31 00:00:00,,1105.0
1932-11-01 00:00:00,,1139.0
1932-11-02 00:00:00,,1178.0
1932-11-03 00:00:00,,1214.0
1932-11-04 00:00:00,,1244.0
1932-11-05 00:00:00,,1270.0
1932-11-06 00:00:00,,1298.0
1932-11-07 00:00:00,,1333.0
1932-11-08 00:00:00,,1380.0
1932-11-09 00:00:00,,1434.0
1932-11-10 00:00:00,,1488.0
1932-11-11 00:00:00,,1533.0
1932-11-12 00:00:00,,1565.0
1932-11-13 00:00:00,,1582.0
1932-11-14 00:00:00,,1584.0
1932-11-15 00:00:00,,1575.0
1932-11-16 00:00:00,,1558.0
1932-11-17 00:00:00,,1540.0
1932-11-18 00:00:00,,1529.0
1932-11-19 00:00:00,,1530.0
1932-11-20 00:00:00,,1540.0
1932-11-21 00:00:00,,1550.0
1932-11-22 00:00:00,,1554.0
1932-11-23 00:00:00,,1566.0
1932-11-24 00:00:00,,1632.0
1932-11-25 00:00:00,,1831.0
1932-11-26 00:00:00,,2212.0
1932-11-27 00:00:00,,2717.0
1932-11-28 00:00:00,,3215.0
1932-11-29 00:00:00,,3604.0
1932-11-30 00:00:00,,3850.0
1932-12-01 00:00:00,,3962.0
1932-12-02 00:00:00,,3962.0
1932-12-03 00:00:00,,3873.0
1932-12-04 00:00:00,,3721.0
1932-12-05 00:00:00,,3532.0
1932-12-06 00:00:00,,3326.0
1932-12-07 00:00:00,,3119.0
1932-12-08 00:00:00,,2917.0
1932-12-09 00:00:00,,2722.0
1932-12-10 00:00:00,,2543.0
1932-12-11 00:00:00,,2391.0
1932-12-12 00:00:00,,2272.0
1932-12-13 00:00:00,,2183.0
1932-12-14 00:00:00,,2131.0
1932-12-15 00:00:00,,2145.0
1932-12-16 00:00:00,,2259.0
1932-12-17 00:00:00,,2478.0
1932-12-18 00:00:00,,2759.0
1932-12-19 00:00:00,,3056.0
1932-12-20 00:00:00,,3347.0
1932-12-21 00:00:00,,3628.0
1932-12-22 00:00:00,,3900.0
1932-12-23 00:00:00,,4157.0
1932-12-24 00:00:00,,4387.0
1932-12-25 00:00:00,,4582.0
1932-12-26 00:00:00,,4734.0
1932-12-27 00:00:00,,4838.0
1932-12-28 00:00:00,,4894.0
1932-12-29 00:00:00,,4912.0
1932-12-30 00:00:00,,4900.0
1932-12-31 00:00:00,,4871.0
1933-01-01 00:00:00,,4841.0
1933-01-02 00:00:00,,4818.0
1933-01-03 00:00:00,,4805.0
1933-01-04 00:00:00,,4795.0
1933-01-05 00:00:00,,4773.0
1933-01-06 00:00:00,,4726.0
