,A19086,D19086
2001-07-14,77.0,77.0
2001-07-15,10.01,77.0
2001-07-16,77.0,77.0
2001-07-17,43.5,77.0
2001-07-18,43.5,77.0
2001-07-19,44.5,78.0
2001-07-20,76.0,76.0
2001-07-21,9.01,76.0
2001-07-22,42.49,76.0
2001-07-23,76.0,76.0
2001-07-24,76.0,76.0
2001-07-25,10.01,77.0
2001-07-26,77.0,77.0
2001-07-27,43.5,77.0
2001-07-28,10.01,77.0
2001-07-29,45.5,79.0
2001-07-30,13.01,80.0
2001-07-31,79.0,79.0
2001-08-01,45.5,79.0
2001-08-02,45.5,79.0
2001-08-03,44.49,78.0
2001-08-04,79.0,79.0
2001-08-05,11.01,78.0
2001-08-06,46.5,80.0
2001-08-07,47.5,81.0
2001-08-08,51.49,81.0
2001-08-09,82.0,82.0
2001-08-10,23.98,83.0
2001-08-11,53.49,83.0
2001-08-12,52.49,82.0
2001-08-13,48.49,78.0
2001-08-14,51.49,81.0
2001-08-15,21.98,81.0
2001-08-16,83.0,83.0
2001-08-17,22.98,82.0
2001-08-18,23.98,83.0
2001-08-19,53.49,83.0
2001-08-20,53.49,83.0
2001-08-21,23.98,83.0
2001-08-22,87.0,87.0
2001-08-23,23.98,83.0
2001-08-24,53.49,83.0
2001-08-25,53.49,83.0
2001-08-26,53.49,83.0
2001-08-27,112.51,83.0
2001-08-28,84.0,84.0
2001-08-29,82.0,82.0
2001-08-30,54.49,84.0
2001-08-31,53.49,83.0
2001-09-01,83.0,83.0
2001-09-02,23.98,83.0
2001-09-03,53.49,83.0
2001-09-04,53.49,83.0
2001-09-05,83.0,83.0
2001-09-06,24.98,84.0
2001-09-07,83.0,83.0
2001-09-08,20.98,80.0
2001-09-09,54.49,84.0
2001-09-10,54.49,84.0
2001-09-11,53.49,83.0
2001-09-12,24.98,84.0
2001-09-13,84.0,84.0
2001-09-14,54.49,84.0
2001-09-15,112.51,83.0
2001-09-16,112.51,83.0
2001-09-17,54.49,84.0
2001-09-18,24.98,84.0
2001-09-19,84.0,84.0
2001-09-20,84.0,84.0
2001-09-21,84.0,84.0
2001-09-22,24.98,84.0
2001-09-23,24.98,84.0
2001-09-24,85.0,85.0
2001-09-25,84.0,84.0
2001-09-26,54.49,84.0
2001-09-27,54.49,84.0
2001-09-28,84.0,84.0
