,A19086,D19086
2003-09-17,51.0,130.0
2003-09-18,51.0,130.0
2003-09-19,51.0,130.0
2003-09-20,90.0,130.0
2003-09-21,129.0,129.0
2003-09-22,11.0,130.0
2003-09-23,51.0,130.0
2003-09-24,130.0,130.0
2003-09-25,11.0,130.0
2003-09-26,51.0,130.0
2003-09-27,51.0,130.0
2003-09-28,90.0,130.0
2003-09-29,130.0,130.0
2003-09-30,51.0,130.0
2003-10-01,51.0,130.0
2003-10-02,130.0,130.0
2003-10-03,51.0,130.0
2003-10-04,130.0,130.0
2003-10-05,54.0,130.0
2003-10-06,92.0,130.0
2003-10-07,133.0,133.0
2003-10-08,17.0,131.0
2003-10-09,94.0,132.0
2003-10-10,93.0,131.0
2003-10-11,55.0,131.0
2003-10-12,55.0,131.0
2003-10-13,54.0,130.0
2003-10-14,92.0,130.0
2003-10-15,56.0,132.0
2003-10-16,18.0,132.0
2003-10-17,55.0,131.0
2003-10-18,93.0,131.0
2003-10-19,56.0,132.0
2003-10-20,94.0,132.0
2003-10-21,56.0,132.0
2003-10-22,132.0,132.0
2003-10-23,133.0,133.0
2003-10-24,55.0,131.0
2003-10-25,207.0,131.0
2003-10-26,93.0,131.0
2003-10-27,208.0,132.0
2003-10-28,132.0,132.0
2003-10-29,94.0,132.0
2003-10-30,93.0,131.0
2003-10-31,95.0,133.0
2003-11-01,132.0,132.0
2003-11-02,14.0,128.0
2003-11-03,55.0,131.0
2003-11-04,93.0,131.0
2003-11-05,18.0,132.0
2003-11-06,56.0,132.0
2003-11-07,56.0,132.0
2003-11-08,18.0,132.0
2003-11-09,131.0,131.0
2003-11-10,55.0,131.0
2003-11-11,94.0,132.0
2003-11-12,56.0,132.0
2003-11-13,132.0,132.0
2003-11-14,56.0,132.0
2003-11-15,88.0,126.0
2003-11-16,126.0,126.0
2003-11-17,94.0,132.0
2003-11-18,132.0,132.0
2003-11-19,94.0,132.0
2003-11-20,132.0,132.0
2003-11-21,92.0,130.0
2003-11-22,94.0,132.0
2003-11-23,56.0,132.0
2003-11-24,94.0,132.0
2003-11-25,57.0,133.0
2003-11-26,57.0,133.0
2003-11-27,90.0,133.0
2003-11-28,57.0,133.0
2003-11-29,130.0,130.0
2003-11-30,90.0,133.0
2003-12-01,358.0,130.0
2003-12-02,247.0,133.0
2003-12-03,240.0,126.0
2003-12-04,93.0,131.0
2003-12-05,131.0,131.0
2003-12-06,131.0,131.0
2003-12-07,131.0,131.0
2003-12-08,207.0,131.0
2003-12-09,131.0,131.0
2003-12-10,136.0,136.0
2003-12-11,140.0,140.0
2003-12-12,64.0,140.0
2003-12-13,64.0,140.0
2003-12-14,178.0,140.0
2003-12-15,102.0,140.0
2003-12-16,26.0,140.0
2003-12-17,102.0,140.0
2003-12-18,64.0,140.0
2003-12-19,140.0,140.0
2003-12-20,64.0,140.0
2003-12-21,64.0,140.0
2003-12-22,64.0,140.0
2003-12-23,135.0,135.0
2003-12-24,55.0,131.0
2003-12-25,93.0,131.0
2003-12-26,169.0,131.0
2003-12-27,93.0,131.0
2003-12-28,207.0,131.0
2003-12-29,131.0,131.0
2003-12-30,131.0,131.0
2003-12-31,169.0,131.0
2004-01-01,131.0,131.0
2004-01-02,433.0,129.0
2004-01-03,354.0,126.0
2004-01-04,279.0,127.0
2004-01-05,130.0,130.0
2004-01-06,354.0,126.0
2004-01-07,284.0,132.0
2004-01-08,293.0,141.0
2004-01-09,378.0,150.0
2004-01-10,461.0,157.0
2004-01-11,537.0,157.0
2004-01-12,537.0,157.0
2004-01-13,552.0,167.0
2004-01-14,636.0,201.0
2004-01-15,338.0,219.0
2004-01-16,378.0,220.0
2004-01-17,338.0,219.0
2004-01-18,259.0,219.0
2004-01-19,195.0,235.0
2004-01-20,394.0,236.0
2004-01-21,275.0,235.0
2004-01-22,512.0,235.0
2004-01-23,749.0,235.0
2004-01-24,827.0,234.0
2004-01-25,1417.0,231.0
2004-01-26,1235.0,262.0
2004-01-27,770.0,294.0
2004-01-28,381.0,294.0
2004-01-29,336.0,293.0
2004-01-30,532.0,272.0
2004-01-31,985.0,292.0
2004-02-01,768.0,292.0
2004-02-02,683.0,293.0
2004-02-03,592.0,332.0
2004-02-04,722.0,332.0
2004-02-05,547.0,331.0
2004-02-06,462.0,332.0
2004-02-07,544.0,330.0
2004-02-08,616.0,332.0
2004-02-09,1143.0,332.0
2004-02-10,1061.0,331.0
2004-02-11,979.0,330.0
2004-02-12,735.0,330.0
2004-02-13,491.0,329.0
2004-02-14,446.0,290.0
2004-02-15,534.0,250.0
2004-02-16,492.0,249.0
2004-02-17,982.0,241.0
2004-02-18,651.0,235.0
2004-02-19,517.0,226.0
2004-02-20,820.0,321.0
2004-02-21,742.0,451.0
2004-02-22,867.0,451.0
2004-02-23,1032.0,450.0
2004-02-24,1074.0,450.0
2004-02-25,574.0,449.0
2004-02-26,407.0,449.0
2004-02-27,449.0,449.0
2004-02-28,265.0,431.0
2004-02-29,241.0,449.0
2004-03-01,241.0,449.0
2004-03-02,217.0,425.0
2004-03-03,343.0,468.0
2004-03-04,303.0,469.0
2004-03-05,284.0,450.0
2004-03-06,210.0,418.0
2004-03-07,293.0,418.0
2004-03-08,262.0,387.0
2004-03-09,284.0,367.0
2004-03-10,136.0,302.0
2004-03-11,250.0,266.0
2004-03-12,170.0,253.0
2004-03-13,150.0,233.0
2004-03-14,731.0,232.0
2004-03-15,232.0,232.0
2004-03-16,232.0,232.0
2004-03-17,149.0,232.0
2004-03-18,274.0,232.0
2004-03-19,285.0,243.0
2004-03-20,182.0,265.0
2004-03-21,99.0,265.0
2004-03-22,141.0,266.0
2004-03-23,150.0,233.0
2004-03-24,104.0,229.0
2004-03-25,149.0,232.0
2004-03-26,117.0,200.0
2004-03-27,117.0,200.0
2004-03-28,158.0,200.0
2004-03-29,74.0,199.0
2004-03-30,100.0,183.0
2004-03-31,116.0,158.0
2004-04-01,183.0,141.0
2004-04-02,125.0,125.0
2004-04-03,207.0,124.0
2004-04-04,125.0,125.0
2004-04-05,83.0,125.0
2004-04-06,166.0,124.0
2004-04-07,167.0,125.0
2004-04-08,124.0,124.0
2004-04-09,124.0,124.0
2004-04-10,124.0,124.0
2004-04-11,207.0,124.0
2004-04-12,82.0,124.0
2004-04-13,125.0,125.0
2004-04-14,41.0,124.0
2004-04-15,125.0,125.0
2004-04-16,167.0,125.0
2004-04-17,124.0,124.0
2004-04-18,82.0,124.0
2004-04-19,132.0,132.0
2004-04-20,60.0,143.0
2004-04-21,149.0,149.0
2004-04-22,112.0,154.0
2004-04-23,115.0,154.0
2004-04-24,157.0,157.0
2004-04-25,157.0,157.0
2004-04-26,72.0,155.0
2004-04-27,75.0,158.0
2004-04-28,158.0,158.0
2004-04-29,116.0,158.0
2004-04-30,116.0,158.0
2004-05-01,158.0,158.0
2004-05-02,75.0,158.0
2004-05-03,116.0,158.0
2004-05-04,116.0,158.0
2004-05-05,116.0,158.0
2004-05-06,75.0,158.0
2004-05-07,75.0,158.0
2004-05-08,116.0,158.0
2004-05-09,33.0,158.0
2004-05-10,117.0,158.0
2004-05-11,77.0,158.0
2004-05-12,77.0,158.0
2004-05-13,118.0,159.0
2004-05-14,109.0,150.0
2004-05-15,101.0,142.0
2004-05-16,11.0,133.0
2004-05-17,126.0,126.0
2004-05-18,44.0,125.0
2004-05-19,125.0,125.0
2004-05-20,45.0,126.0
2004-05-21,134.0,134.0
2004-05-22,61.0,142.0
2004-05-23,69.0,150.0
2004-05-24,78.0,159.0
2004-05-25,37.0,159.0
2004-05-26,159.0,159.0
2004-05-27,145.0,159.0
2004-05-28,78.0,159.0
2004-05-29,78.0,159.0
2004-05-30,78.0,159.0
2004-05-31,78.0,159.0
2004-06-01,37.0,159.0
2004-06-02,159.0,159.0
2004-06-03,78.0,159.0
2004-06-04,37.0,159.0
2004-06-05,78.0,159.0
2004-06-06,118.0,159.0
2004-06-07,37.0,159.0
2004-06-08,78.0,159.0
2004-06-09,37.0,159.0
2004-06-10,78.0,159.0
2004-06-11,119.0,160.0
2004-06-12,38.0,160.0
2004-06-13,79.0,160.0
2004-06-14,78.0,159.0
2004-06-15,38.0,160.0
2004-06-16,78.0,159.0
2004-06-17,38.0,160.0
2004-06-18,160.0,160.0
2004-06-19,38.0,160.0
2004-06-20,38.0,160.0
2004-06-21,79.0,160.0
2004-06-22,79.0,160.0
2004-06-23,39.0,160.0
2004-06-24,79.0,160.0
2004-06-25,119.0,160.0
2004-06-26,38.0,160.0
2004-06-27,80.0,161.0
2004-06-28,81.0,162.0
2004-06-29,40.0,162.0
2004-06-30,35.0,162.0
2004-07-01,75.0,162.0
2004-07-02,74.0,161.0
2004-07-03,31.0,161.0
2004-07-04,118.0,161.0
2004-07-05,1.0,165.0
2004-07-06,121.0,164.0
2004-07-07,30.0,160.0
2004-07-08,204.0,161.0
2004-07-09,110.0,153.0
2004-07-10,15.0,145.0
2004-07-11,136.0,136.0
2004-07-12,42.0,129.0
2004-07-13,130.0,130.0
2004-07-14,88.0,131.0
2004-07-15,41.0,128.0
2004-07-16,85.0,128.0
2004-07-17,41.0,128.0
2004-07-18,41.0,128.0
2004-07-19,128.0,128.0
2004-07-20,44.0,129.0
2004-07-21,86.0,129.0
2004-07-22,85.0,128.0
2004-07-23,45.0,132.0
2004-07-24,41.0,128.0
2004-07-25,85.0,128.0
2004-07-26,41.0,128.0
2004-07-27,85.0,128.0
2004-07-28,1.0,128.0
2004-07-29,41.0,128.0
2004-07-30,41.0,128.0
2004-07-31,85.0,128.0
2004-08-01,1.0,128.0
2004-08-02,88.0,131.0
2004-08-03,91.0,134.0
2004-08-04,3.0,133.0
2004-08-05,46.0,133.0
2004-08-06,85.0,128.0
2004-08-07,10.0,129.0
2004-08-08,42.0,129.0
2004-08-09,42.0,129.0
2004-08-10,42.0,129.0
2004-08-11,88.0,131.0
2004-08-12,2.0,132.0
2004-08-13,46.0,133.0
2004-08-14,130.0,130.0
2004-08-15,1.0,129.0
2004-08-16,1.0,129.0
2004-08-17,46.0,133.0
2004-08-18,91.0,134.0
2004-08-19,1.0,131.0
2004-08-20,42.0,129.0
2004-08-21,44.0,131.0
2004-08-22,128.0,128.0
2004-08-23,44.0,129.0
2004-08-24,46.0,129.0
2004-08-25,129.0,129.0
2004-08-26,60.0,129.0
2004-08-27,0.0,131.0
2004-08-28,8.0,127.0
2004-08-29,51.0,130.0
2004-08-30,90.0,130.0
2004-08-31,12.0,131.0
2004-09-01,50.0,129.0
2004-09-02,90.0,130.0
2004-09-03,90.0,130.0
2004-09-04,130.0,130.0
2004-09-05,11.0,130.0
2004-09-06,51.0,130.0
2004-09-07,11.0,130.0
2004-09-08,90.0,130.0
2004-09-09,51.0,130.0
2004-09-10,90.0,130.0
2004-09-11,90.0,130.0
2004-09-12,11.0,130.0
2004-09-13,1.0,130.0
2004-09-14,11.0,130.0
2004-09-15,11.0,130.0
2004-09-16,11.0,130.0
2004-09-17,28.0,130.0
2004-09-18,49.0,128.0
2004-09-19,11.0,130.0
2004-09-20,90.0,130.0
2004-09-21,90.0,130.0
2004-09-22,8.0,127.0
2004-09-23,50.0,129.0
2004-09-24,50.0,129.0
2004-09-25,129.0,129.0
2004-09-26,11.0,130.0
2004-09-27,12.0,131.0
2004-09-28,52.0,131.0
2004-09-29,91.0,131.0
2004-09-30,52.0,131.0
2004-10-01,52.0,131.0
2004-10-02,92.0,131.0
2004-10-03,129.0,129.0
2004-10-04,7.0,126.0
2004-10-05,12.0,131.0
2004-10-06,52.0,131.0
2004-10-07,12.0,131.0
2004-10-08,52.0,131.0
2004-10-09,91.0,131.0
2004-10-10,171.0,131.0
2004-10-11,91.0,131.0
2004-10-12,55.0,131.0
2004-10-13,162.0,124.0
2004-10-14,250.0,133.0
2004-10-15,52.0,131.0
2004-10-16,55.0,131.0
2004-10-17,93.0,131.0
2004-10-18,55.0,131.0
2004-10-19,93.0,131.0
2004-10-20,55.0,131.0
2004-10-21,55.0,131.0
2004-10-22,131.0,131.0
2004-10-23,93.0,131.0
2004-10-24,94.0,132.0
2004-10-25,92.0,130.0
2004-10-26,93.0,131.0
2004-10-27,170.0,132.0
2004-10-28,168.0,130.0
2004-10-29,56.0,132.0
2004-10-30,131.0,131.0
2004-10-31,55.0,131.0
2004-11-01,131.0,131.0
2004-11-02,91.0,131.0
2004-11-03,18.0,132.0
2004-11-04,55.0,131.0
2004-11-05,132.0,132.0
2004-11-06,205.0,129.0
2004-11-07,55.0,131.0
2004-11-08,169.0,131.0
2004-11-09,94.0,132.0
2004-11-10,92.0,130.0
2004-11-11,246.0,132.0
2004-11-12,90.0,128.0
2004-11-13,93.0,131.0
2004-11-14,126.0,126.0
2004-11-15,131.0,131.0
2004-11-16,169.0,131.0
2004-11-17,128.0,128.0
2004-11-18,199.0,123.0
2004-11-19,269.0,117.0
2004-11-20,114.0,114.0
2004-11-21,76.0,114.0
2004-11-22,76.0,114.0
2004-11-23,76.0,114.0
2004-11-24,38.0,114.0
2004-11-25,40.0,116.0
2004-11-26,115.0,115.0
2004-11-27,4.0,118.0
2004-11-28,154.0,116.0
2004-11-29,264.0,112.0
2004-11-30,342.0,114.0
2004-12-01,114.0,114.0
2004-12-02,46.0,122.0
2004-12-03,121.0,121.0
2004-12-04,84.0,122.0
2004-12-05,125.0,125.0
2004-12-06,125.0,125.0
2004-12-07,54.0,130.0
2004-12-08,89.0,127.0
2004-12-09,130.0,130.0
2004-12-10,130.0,130.0
2004-12-11,244.0,130.0
2004-12-12,130.0,130.0
2004-12-13,92.0,130.0
2004-12-14,54.0,130.0
2004-12-15,1.0,130.0
2004-12-16,99.0,130.0
2004-12-17,131.0,131.0
2004-12-18,92.0,130.0
2004-12-19,206.0,130.0
2004-12-20,203.0,127.0
2004-12-21,319.0,129.0
2004-12-22,169.0,131.0
2004-12-23,131.0,131.0
2004-12-24,128.0,128.0
2004-12-25,129.0,129.0
2004-12-26,236.0,122.0
2004-12-27,168.0,130.0
2004-12-28,282.0,130.0
2004-12-29,244.0,130.0
2004-12-30,130.0,130.0
2004-12-31,168.0,130.0
2005-01-01,206.0,130.0
2005-01-02,92.0,130.0
2005-01-03,246.07,129.0
2005-01-04,848.62,137.0
2005-01-05,739.02,146.0
2005-01-06,510.81,155.0
2005-01-07,320.14,162.0
2005-01-08,250.07,171.0
2005-01-09,328.14,170.0
2005-01-10,445.75,169.0
2005-01-11,250.06,171.0
2005-01-12,288.61,170.0
2005-01-13,246.06,167.0
2005-01-14,211.54,172.0
2005-01-15,131.46,171.0
2005-01-16,176.0,176.0
2005-01-17,215.54,176.0
2005-01-18,610.88,176.0
2005-01-19,413.21,176.0
2005-01-20,294.6,176.0
2005-01-21,373.67,176.0
2005-01-22,293.61,175.0
2005-01-23,254.06,175.0
2005-01-24,430.01,174.0
2005-01-25,1579.12,237.0
2005-01-26,805.53,286.0
2005-01-27,331.29,288.0
2005-01-28,394.88,265.0
2005-01-29,570.06,267.0
2005-01-30,361.6,275.0
2005-01-31,610.34,264.0
2005-02-01,316.3,273.0
2005-02-02,456.17,283.0
2005-02-03,327.3,284.0
2005-02-04,305.3,262.0
2005-02-05,314.17,141.0
2005-02-06,291.17,118.0
2005-02-07,195.3,152.0
2005-02-08,128.0,128.0
2005-02-09,197.3,154.0
2005-02-10,334.17,161.0
2005-02-11,168.0,168.0
2005-02-12,147.0,147.0
2005-02-13,163.3,120.0
2005-02-14,122.7,166.0
2005-02-15,170.0,170.0
2005-02-16,152.0,152.0
2005-02-17,66.41,153.0
2005-02-18,209.29,166.0
2005-02-19,174.3,131.0
2005-02-20,156.3,113.0
2005-02-21,119.7,163.0
2005-02-22,169.0,169.0
2005-02-23,175.0,175.0
2005-02-24,162.0,162.0
2005-02-25,77.41,164.0
2005-02-26,264.59,178.0
2005-02-27,133.0,133.0
2005-02-28,334.17,161.0
2005-03-01,223.3,180.0
2005-03-02,307.88,178.0
2005-03-03,466.26,177.0
2005-03-04,344.14,182.0
2005-03-05,380.67,178.0
2005-03-06,421.21,178.0
2005-03-07,193.0,193.0
2005-03-08,212.0,212.0
2005-03-09,199.0,199.0
2005-03-10,141.47,182.0
2005-03-11,141.47,182.0
2005-03-12,112.92,194.0
2005-03-13,150.0,150.0
2005-03-14,142.0,142.0
2005-03-15,142.0,142.0
2005-03-16,126.0,126.0
2005-03-17,125.0,125.0
2005-03-18,531.35,126.0
2005-03-19,449.28,125.0
2005-03-20,570.88,125.0
2005-03-21,489.81,125.0
2005-03-22,449.27,125.0
2005-03-23,246.61,125.0
2005-03-24,326.67,124.0
2005-03-25,205.06,124.0
2005-03-26,286.14,124.0
2005-03-27,367.21,124.0
2005-03-28,245.61,124.0
2005-03-29,212.06,131.0
2005-03-30,288.14,126.0
2005-03-31,288.14,126.0
2005-04-01,247.61,126.0
2005-04-02,247.66,125.0
2005-04-03,291.38,125.0
2005-04-04,208.19,125.0
2005-04-05,166.59,125.0
2005-04-06,208.19,125.0
2005-04-07,125.0,125.0
2005-04-08,166.6,125.0
2005-04-09,127.0,127.0
2005-04-10,134.0,134.0
2005-04-11,125.0,125.0
2005-04-12,125.0,125.0
2005-04-13,125.0,125.0
2005-04-14,83.4,125.0
2005-04-15,83.4,125.0
2005-04-16,122.0,122.0
2005-04-17,83.4,125.0
2005-04-18,83.41,125.0
2005-04-19,124.0,124.0
2005-04-20,124.0,124.0
2005-04-21,82.4,124.0
2005-04-22,82.4,124.0
2005-04-23,121.0,121.0
2005-04-24,124.0,124.0
2005-04-25,124.0,124.0
2005-04-26,116.0,116.0
2005-04-27,37.81,121.0
2005-04-28,82.41,124.0
2005-04-29,82.4,124.0
2005-04-30,82.4,124.0
2005-05-01,83.47,124.0
2005-05-02,83.47,124.0
2005-05-03,83.46,124.0
2005-05-04,124.0,124.0
2005-05-05,43.94,125.0
2005-05-06,42.94,124.0
2005-05-07,83.46,124.0
2005-05-08,124.0,124.0
2005-05-09,3.4,125.0
2005-05-10,126.0,126.0
2005-05-11,44.92,126.0
2005-05-12,125.0,125.0
2005-05-13,44.94,126.0
2005-05-14,85.47,126.0
2005-05-15,84.47,125.0
2005-05-16,43.92,125.0
2005-05-17,44.94,126.0
2005-05-18,84.47,125.0
2005-05-19,42.92,124.0
2005-05-20,124.0,124.0
2005-05-21,42.94,124.0
2005-05-22,42.92,124.0
2005-05-23,83.47,124.0
2005-05-24,83.47,124.0
2005-05-25,125.0,125.0
2005-05-26,124.0,124.0
2005-05-27,42.94,124.0
2005-05-28,43.92,125.0
2005-05-29,79.47,120.0
2005-05-30,37.94,119.0
2005-05-31,85.46,126.0
2005-06-01,44.94,126.0
2005-06-02,44.94,126.0
2005-06-03,85.46,126.0
2005-06-04,38.94,120.0
2005-06-05,85.47,126.0
2005-06-06,44.92,126.0
2005-06-07,86.47,127.0
2005-06-08,43.94,125.0
2005-06-09,125.0,125.0
2005-06-10,3.39,125.0
2005-06-11,43.94,125.0
2005-06-12,125.0,125.0
2005-06-13,43.92,125.0
2005-06-14,3.4,125.0
2005-06-15,86.47,127.0
2005-06-16,44.92,126.0
2005-06-17,43.94,125.0
2005-06-18,85.47,126.0
2005-06-19,85.46,126.0
2005-06-20,43.94,125.0
2005-06-21,43.94,125.0
2005-06-22,84.46,125.0
2005-06-23,43.94,125.0
2005-06-24,84.47,125.0
2005-06-25,4.39,126.0
2005-06-26,126.0,126.0
2005-06-27,44.94,126.0
2005-06-28,44.92,126.0
2005-06-29,3.4,125.0
2005-06-30,130.0,130.0
2005-07-01,47.92,129.0
2005-07-02,3.4,125.0
2005-07-03,84.47,125.0
2005-07-04,43.92,125.0
2005-07-05,43.94,125.0
2005-07-06,84.47,125.0
2005-07-07,43.92,125.0
2005-07-08,42.17,126.0
2005-07-09,39.41,126.0
2005-07-10,39.41,126.0
2005-07-11,39.41,126.0
2005-07-12,82.7,126.0
2005-07-13,40.41,127.0
2005-07-14,40.41,127.0
2005-07-15,40.41,127.0
2005-07-16,40.4,127.0
2005-07-17,40.41,127.0
2005-07-18,40.41,127.0
2005-07-19,40.41,127.0
2005-07-20,38.41,125.0
2005-07-21,40.4,127.0
2005-07-22,41.41,128.0
2005-07-23,40.41,127.0
2005-07-24,40.41,127.0
2005-07-25,40.41,127.0
2005-07-26,41.4,128.0
2005-07-27,84.71,128.0
2005-07-28,41.41,128.0
2005-07-29,40.4,127.0
2005-07-30,41.41,128.0
2005-07-31,40.41,127.0
2005-08-01,41.41,128.0
2005-08-02,41.41,128.0
2005-08-03,41.4,128.0
2005-08-04,41.41,128.0
2005-08-05,40.41,127.0
2005-08-06,40.41,127.0
2005-08-07,39.41,126.0
2005-08-08,40.4,127.0
2005-08-09,40.41,127.0
2005-08-10,40.41,127.0
2005-08-11,40.41,127.0
2005-08-12,40.41,127.0
2005-08-13,41.4,128.0
2005-08-14,40.41,127.0
2005-08-15,41.41,128.0
2005-08-16,41.41,128.0
2005-08-17,41.41,128.0
2005-08-18,41.4,128.0
2005-08-19,41.41,128.0
2005-08-20,41.41,128.0
2005-08-21,41.41,128.0
2005-08-22,42.41,129.0
2005-08-23,41.4,128.0
2005-08-24,41.41,128.0
2005-08-25,84.71,128.0
2005-08-26,41.4,128.0
2005-08-27,42.41,129.0
2005-08-28,42.41,129.0
2005-08-29,9.4,128.0
2005-08-30,9.39,128.0
2005-08-31,51.94,131.0
2005-09-01,82.46,122.0
2005-09-02,39.93,119.0
2005-09-03,11.4,130.0
2005-09-04,6.39,125.0
2005-09-05,89.47,129.0
2005-09-06,10.39,129.0
2005-09-07,89.46,129.0
2005-09-08,10.4,129.0
2005-09-09,129.0,129.0
2005-09-10,90.46,130.0
2005-09-11,49.94,129.0
2005-09-12,49.93,129.0
2005-09-13,48.93,128.0
2005-09-14,48.94,128.0
2005-09-15,48.93,128.0
2005-09-16,49.94,129.0
2005-09-17,11.39,130.0
2005-09-18,11.4,130.0
2005-09-19,48.93,128.0
2005-09-20,49.94,129.0
2005-09-21,49.93,129.0
2005-09-22,49.93,129.0
2005-09-23,50.94,130.0
2005-09-24,11.39,130.0
2005-09-25,90.47,130.0
2005-09-26,90.46,130.0
2005-09-27,90.46,130.0
2005-09-28,50.93,130.0
2005-09-29,90.47,130.0
2005-09-30,50.93,130.0
2005-10-01,50.93,130.0
2005-10-02,90.47,130.0
2005-10-03,11.39,130.0
2005-10-04,131.0,131.0
2005-10-05,170.54,131.0
2005-10-06,51.93,131.0
2005-10-07,52.94,132.0
2005-10-08,13.39,132.0
2005-10-09,90.47,130.0
2005-10-10,49.93,129.0
2005-10-11,50.93,130.0
2005-10-12,50.94,130.0
2005-10-13,50.93,130.0
2005-10-14,133.0,133.0
2005-10-15,10.4,129.0
2005-10-16,11.39,130.0
2005-10-17,10.4,129.0
2005-10-18,90.46,130.0
2005-10-19,51.94,131.0
2005-10-20,51.93,131.0
2005-10-21,131.0,131.0
2005-10-22,16.02,130.0
2005-10-23,130.0,130.0
2005-10-24,15.01,129.0
2005-10-25,130.0,130.0
2005-10-26,54.02,130.0
2005-10-27,54.0,130.0
2005-10-28,91.0,129.0
2005-10-29,16.02,130.0
2005-10-30,471.96,130.0
2005-10-31,206.0,130.0
2005-11-01,130.0,130.0
2005-11-02,16.01,130.0
2005-11-03,54.02,130.0
2005-11-04,131.0,131.0
2005-11-05,54.0,130.0
2005-11-06,124.0,124.0
2005-11-07,49.0,125.0
2005-11-08,92.01,130.0
2005-11-09,92.0,130.0
2005-11-10,205.98,130.0
2005-11-11,54.02,130.0
2005-11-12,92.0,130.0
2005-11-13,89.0,127.0
2005-11-14,130.0,130.0
2005-11-15,16.02,130.0
2005-11-16,54.0,130.0
2005-11-17,54.02,130.0
2005-11-18,92.0,130.0
2005-11-19,243.98,130.0
2005-11-20,92.0,130.0
2005-11-21,130.0,130.0
2005-11-22,96.01,134.0
2005-11-23,58.0,134.0
2005-11-24,59.0,135.0
2005-11-25,281.99,130.0
2005-11-26,132.0,132.0
2005-11-27,162.99,125.0
2005-11-28,93.01,131.0
2005-11-29,245.98,132.0
2005-11-30,284.98,133.0
2005-12-01,134.0,134.0
2005-12-02,128.0,128.0
2005-12-03,130.0,130.0
2005-12-04,130.0,130.0
2005-12-05,130.0,130.0
2005-12-06,547.95,130.0
2005-12-07,556.19,129.0
2005-12-08,203.06,124.0
2005-12-09,125.0,125.0
2005-12-10,208.07,129.0
2005-12-11,285.14,127.0
2005-12-12,168.54,129.0
2005-12-13,287.14,129.0
2005-12-14,89.46,129.0
2005-12-15,164.54,125.0
2005-12-16,761.56,129.0
2005-12-17,1164.91,137.0
2005-12-18,752.02,159.0
2005-12-19,473.74,197.0
2005-12-20,215.0,215.0
2005-12-21,207.0,207.0
2005-12-22,176.47,216.0
2005-12-23,79.39,198.0
2005-12-24,339.14,181.0
2005-12-25,155.0,155.0
2005-12-26,193.54,154.0
2005-12-27,146.0,146.0
2005-12-28,156.0,156.0
2005-12-29,191.54,152.0
2005-12-30,194.54,155.0
2005-12-31,778.07,138.0
2006-01-01,973.0,150.0
2006-01-02,412.0,195.0
2006-01-03,496.0,193.0
2006-01-04,769.0,206.0
2006-01-05,828.0,222.0
2006-01-06,654.0,221.0
2006-01-07,610.0,220.0
2006-01-08,469.0,209.0
2006-01-09,583.0,237.0
2006-01-10,1066.0,296.0
2006-01-11,1066.0,296.0
2006-01-12,1230.0,298.0
2006-01-13,1306.0,293.0
2006-01-14,752.0,266.0
2006-01-15,427.0,265.0
2006-01-16,274.0,274.0
2006-01-17,272.0,272.0
2006-01-18,152.0,274.0
2006-01-19,225.0,225.0
2006-01-20,225.0,225.0
2006-01-21,194.0,275.0
2006-01-22,183.0,346.0
2006-01-23,178.0,259.0
2006-01-24,194.0,275.0
2006-01-25,33.0,276.0
2006-01-26,177.0,258.0
2006-01-27,154.0,276.0
2006-01-28,177.0,258.0
2006-01-29,134.0,256.0
2006-01-30,153.0,275.0
2006-01-31,81.0,243.0
2006-02-01,170.0,210.0
2006-02-02,379.0,176.0
2006-02-03,217.0,176.0
2006-02-04,351.0,148.0
2006-02-05,55.0,136.0
2006-02-06,166.0,166.0
2006-02-07,310.0,148.0
2006-02-08,189.0,149.0
2006-02-09,516.0,151.0
2006-02-10,418.0,134.0
2006-02-11,539.0,134.0
2006-02-12,376.0,130.0
2006-02-13,358.0,150.0
2006-02-14,256.0,173.0
2006-02-15,400.0,192.0
2006-02-16,436.0,186.0
2006-02-17,324.0,158.0
2006-02-18,333.0,173.0
2006-02-19,299.0,133.0
2006-02-20,211.0,211.0
2006-02-21,473.0,223.0
2006-02-22,254.0,212.0
2006-02-23,254.0,212.0
2006-02-24,627.0,253.0
2006-02-25,329.0,287.0
2006-02-26,370.0,287.0
2006-02-27,590.0,299.0
2006-02-28,594.0,261.0
2006-03-01,376.0,210.0
2006-03-02,294.0,211.0
2006-03-03,253.0,253.0
2006-03-04,211.0,253.0
2006-03-05,459.0,251.0
2006-03-06,265.0,265.0
2006-03-07,293.0,210.0
2006-03-08,473.0,265.0
2006-03-09,342.0,384.0
2006-03-10,252.0,335.0
2006-03-11,189.0,314.0
2006-03-12,280.0,322.0
2006-03-13,587.0,337.0
2006-03-14,355.0,355.0
2006-03-15,175.0,0.0
2006-03-16,442.0,209.0
2006-03-17,681.0,390.0
2006-03-18,2102.0,466.0
2006-03-19,2007.0,542.0
2006-03-20,1623.0,598.0
2006-03-21,869.0,723.0
2006-03-22,466.0,808.0
2006-03-23,515.0,808.0
2006-03-24,417.0,808.0
2006-03-25,418.0,808.0
2006-03-26,426.0,768.0
2006-03-27,337.0,727.0
2006-03-28,278.0,669.0
2006-03-29,308.0,601.0
2006-03-30,282.0,826.0
2006-03-31,317.0,512.0
2006-04-01,222.0,466.0
2006-04-02,279.0,474.0
2006-04-03,413.0,463.0
2006-04-04,455.0,455.0
